name,years,country,sector,position
Halvard M. Lange,,Norway,,
Lars R. Langslet,,Norway,,
Jens Litten,,West Germany,,
Fred Luchsinger,,Switzerland,,
Mærsk Mc-Kinney Møller,,Denmark,,
Marshall McLuhan,,Canada,,
David A. Morse,,International,,
Piero Ottone,,Italy,,
Olivier Reverdin,,Switzerland,,
Elliot Richardson,,United States,,
Manfred E. Ritterbach,,West Germany,,
Frank Roberts,,United Kingdom,,
Kaare Sandegren,,Norway,,
Jorgen Schleimann,,Denmark,,
Norbert Schmelzer,,Netherlands,,
S. O. Sorensen,,Denmark,,
Andre de Staercke,,Belgium,,
Otto Tidemand,,Norway,,
