name,years,country,sector,position
Raffaele Cafiero,,Italy,Unknown,Senator
Walker L. Cisler,,United States,Unknown,"Public Utility Executive; President,Detroit Edison Co; Consultant toAtomic Energy CommissionandMutual Security Agency"
Gardner Cowles,,United States,Unknown,Publisher
Clement Davies,,United Kingdom,Unknown,Member of Parliament; Former Minister Chairman of ParliamentaryLiberal Party
Jean Drapier,,Belgium,Unknown,Lawyer
Roger Duchet,,France,Unknown,"Member of Parliament; Former Minister; Secretary General,Independents and Peasants Party"
Maurice Faure,,France,Unknown,Member of Parliament
John H. Ferguson,,United States,Unknown,"Lawyer; Vice-president and Executive Director, Committee for a National Trade Policy; Deputy Director,Policy Planning Staff,Department of State, 1951-1953"
John Foster,,United Kingdom,Unknown,Member of Parliament; ParliamentaryUndersecretary of State for Commonwealth Relations
Oliver Franks,,United Kingdom,Unknown,Former Ambassador inWashington; Chairman ofLloyd's Bank
Gerhard P. Th. Geyer,,West Germany,Unknown,Industrialist; Director General ofEsso
Colin Gubbins,,United Kingdom,Unknown,Major General; Formerly in Charge ofSpecial Operations Executive(SOE)
Denis Healey,,United Kingdom,Unknown,Member of Parliament; Former Secretary of the International Committee of theLabour Party
Henry John Heinz II,,United States,Unknown,"President,H.J. Heinz Co"
Leif Hoegh,,Norway,Unknown,Shipowner; Founder ofLeif Höegh & Co
C. D. Jackson,,United States,Unknown,Publisher; Formerly Special Assistant to PresidentEisenhower(1953-1954)
Nelson Dean Jay,,United States,Unknown,"Banker; Director,J. P. Morgan & Co Inc. New York"
Panagiotis Kanellopoulos,,Greece,Unknown,Member of Parliament; Minister of National Defense
V. J. Koningsberger,,Netherlands,Unknown,"Professor,State University Utrecht"
Ole Bjorn Kraft,,Denmark,Unknown,Member of Parliament; Former Minister of Foreign Affairs
Paul Leverkuehn,,West Germany,Unknown,Member of Parliament; Lawyer
Giovanni Malagodi,,Italy,Unknown,Member of Parliament
Finn Moe,,Norway,Unknown,"Member of Parliament; Chairman, Parliamentary Foreign Affairs Committee; Vice-President,Council of Europe"
H. Montgomery Hyde,,United Kingdom,Unknown,Member of Parliament
Roger Motz,,Belgium,Unknown,Senator; Chairman of theLiberal International; Former Chairman of theLiberal Party
Rudolf Mueller,,West Germany,Unknown,Lawyer
George C. McGhee,,United States,Unknown,"Industrialist Assistant Secretary of State for Near Eastern & South African Affairs (1949-1952); U.S. Ambassador and Chief, American Mission for Aid to Turkey (1951-1953)"
George Nebolsine,,United States,Unknown,"Lawyer; Consultant to Department of State and Economic Cooperation Administration (1948); Trustee, U.S. Council of International Chamber of Commerce"
H. Oosterhuis,,Netherlands,Unknown,Member of Parliament; President of the Netherlands Federation of Trade Unions
Cola G. Parker,,United States,Unknown,Industrialist; Member ofCommission on Foreign Economic Policy(Randall Commission)
George W. Perkins,,United States,Unknown,Industrialist;Assistant Secretary of State for European Affairs(1949-1953)
Harry Pilkington,,United Kingdom,Unknown,"President,Federation of British Industries"
Antoine Pinay,,France,Unknown,Member of Parliament; Former Prime Minister
Panagiotis Pipinelis,,Greece,Unknown,Former Foreign Minister; Former Ambassador to Soviet Union
Alberto Pirelli,,Italy,Unknown,Industrialist; Minister of State
Pietro Quaroni,,Italy,Unknown,Ambassador to France; Former Ambassador to the Soviet Union
Ludwig Rosenberg,,West Germany,Unknown,Chief of Department of Foreign Affairs of the Trade Unions
Paolo Rossi,,Italy,Unknown,Member of Parliament
Denis de Rougemont,,Switzerland,Unknown,"Author; Director, European Cultural Center"
Paul Rijkens,,United States,Unknown,Industrialist; Chairman ofUnilever N.V.
Ernst Georg Schneider,,United States,Unknown,"Industrialist; President, Chamber of Commerce of Düsseldorf"
"Joseph P. Spang, Jr.",,United States,Unknown,"Industrialist; President,The Gillette Co."
Max Steenberghe,,Netherlands,Unknown,FormerMinister of Economic Affairs of the Netherlands
Pierre-Henri Teitgen,,France,Unknown,Vice-president of the Council of Ministers
Terkel M. Terkelsen,,Denmark,Unknown,"Chief editor,Berlingske Tidende"
Herbert Tingsten,,Sweden,Unknown,"Chief editor,Dagens Nyheter"
